Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Trp-Dbl,Awards
38.0,Lucius Allen,26.0,MIL,PG,72.0,,2388.0,7.305555555555555,14.75,0.495,3.0,3.8055555555555554,0.788,89.0,202.0,291.0,374.0,137.0,22.0,215.0,17.61111111111111,0.0,MVP-15
39.0,Randy Smith,25.0,BUF,SG,82.0,,2745.0,6.475609756097561,13.158536585365853,0.492,2.5,3.5121951219512195,0.712,87.0,228.0,315.0,383.0,203.0,4.0,261.0,15.451219512195122,0.0,
40.0,Jim Price,24.0,LAL,PG,82.0,,2628.0,6.560975609756097,14.597560975609756,0.449,2.2804878048780486,2.8536585365853657,0.799,120.0,258.0,378.0,369.0,157.0,29.0,229.0,15.402439024390244,1.0,
41.0,Jeff Mullins,31.0,GSW,SG,77.0,,2498.0,7.025974025974026,14.857142857142858,0.473,2.1818181818181817,2.4935064935064934,0.875,86.0,190.0,276.0,305.0,69.0,22.0,214.0,16.233766233766232,0.0,
42.0,Gar Heard,25.0,BUF,PF,81.0,,2889.0,6.469135802469136,14.876543209876543,0.435,2.3580246913580245,3.6296296296296298,0.65,270.0,677.0,947.0,180.0,136.0,230.0,300.0,15.296296296296296,0.0,
43.0,Ernie DiGregorio,23.0,BUF,PG,81.0,,2910.0,6.54320987654321,15.555555555555555,0.421,2.1481481481481484,2.382716049382716,0.902,48.0,171.0,219.0,663.0,59.0,9.0,242.0,15.234567901234568,0.0,ROY-1
44.0,Steve Mix,26.0,PHI,PF,82.0,82.0,2969.0,6.036585365853658,12.707317073170731,0.475,2.7804878048780486,3.5121951219512195,0.792,305.0,559.0,864.0,152.0,212.0,37.0,305.0,14.853658536585366,0.0,
45.0,Lenny Wilkens,36.0,CLE,PG,74.0,,2483.0,6.243243243243243,13.432432432432432,0.465,3.9054054054054053,4.878378378378378,0.801,80.0,197.0,277.0,522.0,97.0,17.0,165.0,16.39189189189189,0.0,
46.0,Bingo Smith,27.0,CLE,SF,82.0,,2612.0,6.536585365853658,14.378048780487806,0.455,1.6951219512195121,2.0609756097560976,0.822,134.0,301.0,435.0,198.0,89.0,30.0,242.0,14.768292682926829,0.0,
47.0,Bill Bradley,30.0,NYK,SF,82.0,82.0,2813.0,6.121951219512195,13.560975609756097,0.451,1.7804878048780488,2.0365853658536586,0.874,59.0,194.0,253.0,242.0,42.0,21.0,278.0,14.024390243902438,0.0,
48.0,Norm Van Lier,26.0,CHI,PG,80.0,78.0,2863.0,5.3375,13.1375,0.406,3.6,4.625,0.778,114.0,263.0,377.0,548.0,162.0,7.0,282.0,14.275,1.0,"MVP-9,AS,NBA2"
49.0,Kevin Porter,23.0,CAP,PG,81.0,,2339.0,5.888888888888889,12.308641975308642,0.478,2.2222222222222223,3.074074074074074,0.723,79.0,100.0,179.0,469.0,95.0,9.0,319.0,14.0,0.0,
50.0,John Johnson,26.0,POR,SF,69.0,,2287.0,6.6521739130434785,14.347826086956522,0.464,3.072463768115942,3.782608695652174,0.812,160.0,355.0,515.0,284.0,69.0,29.0,221.0,16.3768115942029,1.0,
51.0,Sam Lacey,25.0,KCO,C,79.0,,3107.0,5.9113924050632916,12.430379746835444,0.476,2.3417721518987342,3.1265822784810124,0.749,293.0,762.0,1055.0,299.0,126.0,184.0,254.0,14.164556962025317,0.0,
52.0,Happy Hairston,31.0,LAL,PF,77.0,,2634.0,5.0,9.857142857142858,0.507,4.454545454545454,5.779220779220779,0.771,335.0,705.0,1040.0,208.0,64.0,17.0,264.0,14.454545454545455,0.0,
53.0,Jerry Sloan,31.0,CHI,SG,77.0,77.0,2860.0,5.35064935064935,11.96103896103896,0.447,2.5194805194805197,3.5454545454545454,0.711,150.0,406.0,556.0,149.0,183.0,10.0,273.0,13.220779220779221,0.0,
54.0,Elmore Smith,24.0,LAL,C,81.0,,2922.0,5.3580246913580245,11.716049382716049,0.457,1.8148148148148149,3.074074074074074,0.59,204.0,702.0,906.0,150.0,71.0,393.0,309.0,12.530864197530864,6.0,
55.0,Walt Bellamy,34.0,ATL,C,77.0,,2440.0,5.0519480519480515,10.402597402597403,0.486,3.0259740259740258,4.974025974025974,0.608,264.0,476.0,740.0,189.0,52.0,48.0,232.0,13.12987012987013,0.0,
56.0,Don Kojis,35.0,KCO,SF,77.0,,2091.0,5.194805194805195,10.857142857142858,0.478,2.727272727272727,3.5324675324675323,0.772,126.0,257.0,383.0,110.0,77.0,15.0,157.0,13.116883116883116,0.0,
57.0,Connie Hawkins,31.0,2TM,SF,79.0,,2761.0,5.113924050632911,10.215189873417721,0.501,2.4177215189873418,3.1772151898734178,0.761,176.0,389.0,565.0,407.0,113.0,81.0,223.0,12.645569620253164,1.0,
58.0,Keith Erickson,29.0,PHO,SF,66.0,,2033.0,5.954545454545454,12.484848484848484,0.477,2.6818181818181817,3.3484848484848486,0.801,94.0,320.0,414.0,205.0,63.0,20.0,193.0,14.590909090909092,0.0,
59.0,Dwight Davis,24.0,CLE,PF,76.0,,2477.0,4.947368421052632,11.342105263157896,0.436,2.5921052631578947,3.6052631578947367,0.719,174.0,470.0,644.0,186.0,63.0,74.0,291.0,12.486842105263158,0.0,
60.0,Paul Silas,30.0,BOS,PF,82.0,,2599.0,4.146341463414634,9.414634146341463,0.44,3.2195121951219514,4.109756097560975,0.783,334.0,581.0,915.0,186.0,63.0,20.0,246.0,11.512195121951219,0.0,
