Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Trp-Dbl,Awards
41.0,Dave DeBusschere,31.0,NYK,PF,80.0,80.0,3072.0,6.5,15.225,0.427,2.4125,3.3125,0.728,901.0,291.0,219.0,15.4125,0.0,"MVP-10,AS"
42.0,Bingo Smith,25.0,CLE,SF,82.0,,2734.0,6.426829268292683,14.512195121951219,0.443,2.1707317073170733,2.731707317073171,0.795,502.0,247.0,222.0,15.024390243902438,0.0,
43.0,Wilt Chamberlain,35.0,LAL,C,82.0,,3469.0,6.048780487804878,9.317073170731707,0.649,2.6951219512195124,6.390243902439025,0.422,1572.0,329.0,196.0,14.792682926829269,0.0,"MVP-3,AS,NBA2"
44.0,Dick Snyder,27.0,SEA,SG,73.0,,2534.0,6.794520547945205,12.835616438356164,0.529,2.9863013698630136,3.547945205479452,0.842,228.0,283.0,200.0,16.575342465753426,0.0,
45.0,Bill Bradley,28.0,NYK,SF,78.0,78.0,2780.0,6.461538461538462,13.91025641025641,0.465,2.1666666666666665,2.551282051282051,0.849,250.0,315.0,254.0,15.08974358974359,0.0,MVP-25
46.0,Rudy Tomjanovich,23.0,HOU,PF,78.0,,2689.0,6.410256410256411,12.948717948717949,0.495,2.2051282051282053,3.051282051282051,0.723,923.0,117.0,193.0,15.025641025641026,0.0,
47.0,Bob Rule,27.0,2TM,C,76.0,53.0,2230.0,6.065789473684211,13.921052631578947,0.436,2.973684210526316,4.407894736842105,0.675,534.0,116.0,189.0,15.105263157894736,0.0,
48.0,Walt Hazzard,29.0,BUF,PG,72.0,,2389.0,6.25,13.86111111111111,0.451,3.2916666666666665,4.208333333333333,0.782,213.0,406.0,230.0,15.791666666666666,0.0,
49.0,Stan McKenzie,27.0,POR,SF,82.0,,2036.0,5.0,10.170731707317072,0.492,3.841463414634146,4.621951219512195,0.831,272.0,148.0,240.0,13.841463414634147,0.0,
50.0,Don Nelson,31.0,BOS,PF,82.0,,2086.0,4.7439024390243905,9.890243902439025,0.48,4.341463414634147,5.512195121951219,0.788,453.0,192.0,220.0,13.829268292682928,0.0,
51.0,Geoff Petrie,23.0,POR,SG,60.0,,2155.0,7.75,18.583333333333332,0.417,3.3666666666666667,4.266666666666667,0.789,133.0,248.0,108.0,18.866666666666667,0.0,
52.0,Oscar Robertson,33.0,MIL,PG,64.0,,2390.0,6.546875,13.859375,0.472,4.3125,5.15625,0.836,323.0,491.0,116.0,17.40625,0.0,"MVP-15,AS"
53.0,Lucius Allen,24.0,MIL,PG,80.0,,2316.0,5.5125,10.925,0.505,2.475,3.2375,0.764,254.0,333.0,214.0,13.5,0.0,
54.0,Fred Carter,26.0,2TM,SG,79.0,50.0,2215.0,5.6455696202531644,12.886075949367088,0.438,2.3037974683544302,3.7088607594936707,0.621,326.0,211.0,242.0,13.594936708860759,0.0,MVP-25
55.0,Butch Beard,24.0,CLE,PG,68.0,,2434.0,5.794117647058823,12.485294117647058,0.464,3.823529411764706,5.029411764705882,0.76,276.0,456.0,213.0,15.411764705882353,0.0,AS
56.0,Happy Hairston,29.0,LAL,PF,80.0,,2748.0,4.6,9.975,0.461,3.8875,4.9875,0.779,1045.0,193.0,251.0,13.0875,0.0,
57.0,Jim Washington,28.0,2TM,PF,84.0,11.0,2961.0,4.678571428571429,10.535714285714286,0.444,3.0476190476190474,3.8452380952380953,0.793,736.0,146.0,276.0,12.404761904761905,0.0,
58.0,Randy Smith,23.0,BUF,SF,76.0,,2094.0,5.684210526315789,11.789473684210526,0.482,2.0789473684210527,3.3421052631578947,0.622,368.0,189.0,202.0,13.447368421052632,0.0,
59.0,Walt Wesley,27.0,CLE,C,82.0,,2185.0,5.024390243902439,12.268292682926829,0.41,2.3902439024390243,3.548780487804878,0.674,711.0,76.0,245.0,12.439024390243903,0.0,
61.0,Phil Chenier,21.0,BAL,SG,81.0,,2481.0,5.0246913580246915,12.11111111111111,0.415,2.246913580246914,3.049382716049383,0.737,268.0,205.0,191.0,12.296296296296296,0.0,
62.0,Jim Barnett,27.0,GSW,PG,80.0,,2200.0,4.675,11.4375,0.409,3.05,3.65,0.836,250.0,309.0,189.0,12.4,0.0,
63.0,Wes Unseld,25.0,BAL,C,76.0,,3171.0,5.381578947368421,10.81578947368421,0.498,2.25,3.5789473684210527,0.629,1336.0,278.0,218.0,13.013157894736842,0.0,AS
64.0,Bill Bridges,32.0,2TM,PF,78.0,62.0,2756.0,4.858974358974359,9.987179487179487,0.487,2.8461538461538463,4.051282051282051,0.703,1051.0,198.0,269.0,12.564102564102564,0.0,
65.0,Dick Barnett,35.0,NYK,SG,79.0,76.0,2256.0,5.075949367088608,11.620253164556962,0.437,2.050632911392405,2.721518987341772,0.753,153.0,198.0,229.0,12.20253164556962,0.0,
66.0,Nate Williams,21.0,CIN,SG,81.0,,2173.0,5.160493827160494,11.950617283950617,0.432,1.5679012345679013,2.123456790123457,0.738,372.0,174.0,300.0,11.88888888888889,0.0,
67.0,Hal Greer,35.0,PHI,PG,81.0,52.0,2410.0,4.802469135802469,10.691358024691358,0.449,2.234567901234568,2.888888888888889,0.774,271.0,316.0,268.0,11.839506172839506,0.0,
68.0,Dale Schlueter,26.0,POR,C,81.0,,2693.0,4.3580246913580245,8.296296296296296,0.525,2.9753086419753085,4.0246913580246915,0.739,860.0,285.0,277.0,11.691358024691358,2.0,
69.0,Kevin Loughery,31.0,2TM,SG,76.0,29.0,1771.0,4.4868421052631575,10.644736842105264,0.422,3.460526315789474,4.2105263157894735,0.822,183.0,196.0,213.0,12.43421052631579,0.0,
70.0,Don Chaney,25.0,BOS,SG,79.0,,2275.0,4.7215189873417724,9.949367088607595,0.475,2.4936708860759493,3.2278481012658227,0.773,395.0,202.0,295.0,11.936708860759493,0.0,
71.0,Sam Lacey,23.0,CIN,C,81.0,,2832.0,5.061728395061729,12.0,0.422,1.4691358024691359,2.0864197530864197,0.704,968.0,173.0,284.0,11.592592592592593,0.0,
72.0,Jim Fox,28.0,2TM,C,81.0,1.0,2180.0,4.37037037037037,9.728395061728396,0.449,2.802469135802469,3.6666666666666665,0.764,713.0,86.0,257.0,11.54320987654321,0.0,
73.0,Curtis Rowe,22.0,DET,PF,82.0,,2661.0,4.5,9.78048780487805,0.46,2.341463414634146,3.5,0.669,699.0,99.0,171.0,11.341463414634147,0.0,ROY-5
