Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Trp-Dbl,Awards
39.0,Frank Kudelka,26.0,BLB,SF,65.0,1583.0,3.1384615384615384,9.446153846153846,0.332,3.046153846153846,3.9692307692307693,0.767,275.0,183.0,220.0,9.323076923076924,0.0,
40.0,Paul Seymour,24.0,SYR,SG,66.0,2209.0,3.121212121212121,9.318181818181818,0.335,2.8181818181818183,3.712121212121212,0.759,225.0,220.0,165.0,9.06060606060606,0.0,
41.0,Dick McGuire,26.0,NYK,PG,64.0,2018.0,3.1875,7.40625,0.43,2.859375,4.53125,0.631,332.0,388.0,181.0,9.234375,0.0,AS
42.0,Jack Kerris,27.0,FTW,PF,66.0,2148.0,2.8181818181818183,7.2727272727272725,0.388,3.287878787878788,4.924242424242424,0.668,514.0,212.0,265.0,8.924242424242424,0.0,
43.0,Ralph O'Brien,23.0,INO,SG,64.0,1577.0,3.5625,9.578125,0.372,1.90625,2.328125,0.819,122.0,124.0,115.0,9.03125,0.0,
44.0,Odie Spears,27.0,ROC,SF,66.0,1673.0,3.409090909090909,8.636363636363637,0.395,1.7575757575757576,2.303030303030303,0.763,303.0,163.0,225.0,8.575757575757576,0.0,
45.0,Bob Donham,25.0,BOS,SG,66.0,1980.0,3.0454545454545454,6.257575757575758,0.487,2.257575757575758,4.4393939393939394,0.509,330.0,228.0,223.0,8.348484848484848,0.0,
46.0,Chuck Cooper,25.0,BOS,SF,66.0,1976.0,2.984848484848485,8.257575757575758,0.361,2.257575757575758,3.0454545454545454,0.741,502.0,134.0,219.0,8.227272727272727,0.0,
49.0,Ralph Johnson,30.0,FTW,PG,66.0,2265.0,3.196969696969697,8.969696969696969,0.356,1.5303030303030303,2.121212121212121,0.721,222.0,210.0,243.0,7.924242424242424,0.0,
50.0,Ed Mikan,26.0,PHW,C,66.0,1781.0,3.0606060606060606,8.651515151515152,0.354,1.7575757575757576,2.242424242424242,0.784,492.0,87.0,252.0,7.878787878787879,0.0,
51.0,Bob Harris,24.0,BOS,PF,66.0,1899.0,2.878787878787879,7.015151515151516,0.41,2.0303030303030303,3.1666666666666665,0.641,531.0,120.0,194.0,7.787878787878788,0.0,
53.0,George Ratkovicz,29.0,SYR,PF,66.0,1356.0,2.5,7.166666666666667,0.349,2.4696969696969697,3.6666666666666665,0.674,328.0,90.0,235.0,7.46969696969697,0.0,
54.0,Wally Osterkorn,23.0,SYR,SF,66.0,1721.0,2.196969696969697,6.257575757575758,0.351,3.015151515151515,5.075757575757576,0.594,444.0,117.0,226.0,7.409090909090909,0.0,
58.0,Ray Lumpp,28.0,NYK,SG,62.0,1317.0,2.967741935483871,7.67741935483871,0.387,1.4516129032258065,1.9193548387096775,0.756,125.0,123.0,165.0,7.387096774193548,0.0,
60.0,Kevin O'Shea,26.0,2TM,,65.0,1725.0,2.353846153846154,7.1692307692307695,0.328,2.2153846153846155,3.230769230769231,0.686,201.0,171.0,175.0,6.923076923076923,0.0,
61.0,Alex Hannum,28.0,2TM,PF,66.0,1508.0,2.5757575757575757,7.0,0.368,1.4848484848484849,2.090909090909091,0.71,336.0,133.0,271.0,6.636363636363637,0.0,
62.0,Pep Saul,27.0,2TM,SG,64.0,1479.0,2.453125,6.8125,0.36,1.859375,2.390625,0.778,165.0,147.0,120.0,6.765625,0.0,
63.0,Wah Wah Jones,25.0,INO,PF,58.0,1320.0,2.8275862068965516,9.03448275862069,0.313,1.7586206896551724,2.3448275862068964,0.75,283.0,150.0,137.0,7.413793103448276,0.0,
65.0,Bob Brannum,25.0,BOS,PF,66.0,1324.0,2.257575757575758,6.121212121212121,0.369,1.621212121212121,2.590909090909091,0.626,406.0,76.0,235.0,6.136363636363637,0.0,
66.0,Bob Harrison,24.0,MNL,SG,65.0,1712.0,2.4,7.492307692307692,0.32,1.3692307692307693,1.9076923076923078,0.718,160.0,188.0,203.0,6.1692307692307695,0.0,
80.0,Bob Wilson,25.0,MLH,PG,63.0,1308.0,1.253968253968254,4.190476190476191,0.299,1.2380952380952381,2.142857142857143,0.578,210.0,108.0,172.0,3.746031746031746,0.0,
