Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards
50.0,Billy Paultz,28.0,SAS,C,82.0,82.0,32.9,6.4,13.4,0.473,2.9,3.9,0.744,2.3,6.0,8.4,2.7,0.7,2.1,3.2,15.6,
51.0,Scott Wedman,24.0,KCK,SF,81.0,,33.9,6.4,14.0,0.46,2.5,3.0,0.855,2.3,3.9,6.2,2.8,1.2,0.3,2.8,15.4,
52.0,Bobby Jones,25.0,DEN,PF,82.0,82.0,29.5,6.1,10.7,0.57,2.9,4.0,0.717,2.1,6.1,8.3,3.2,2.3,2.0,2.9,15.1,AS
53.0,John Shumate,24.0,BUF,PF,74.0,,35.1,5.5,10.9,0.502,4.1,6.1,0.671,2.2,7.3,9.5,2.1,1.2,1.1,2.7,15.1,
54.0,Sidney Wicks,27.0,BOS,PF,82.0,,32.2,5.7,12.3,0.458,3.8,5.7,0.668,3.3,6.8,10.0,2.1,0.8,0.7,4.0,15.1,
55.0,Wilbur Holland,25.0,CHI,SG,79.0,70.0,31.1,6.4,14.2,0.454,2.0,2.4,0.823,1.0,2.2,3.2,3.2,2.1,0.2,2.5,14.9,
56.0,Lionel Hollins,23.0,POR,PG,76.0,,29.3,5.9,13.8,0.432,2.8,3.8,0.749,0.7,2.1,2.8,4.1,2.2,0.5,3.5,14.7,
57.0,Lucius Allen,29.0,LAL,PG,78.0,,31.8,6.1,13.3,0.456,2.5,3.2,0.774,0.7,2.5,3.2,5.2,1.5,0.2,2.3,14.6,
58.0,Scott May,22.0,CHI,SF,72.0,61.0,32.9,6.0,13.3,0.451,2.6,3.2,0.828,2.0,4.1,6.1,2.0,1.1,0.2,2.6,14.6,
59.0,Bingo Smith,30.0,CLE,SF,81.0,,26.4,6.3,14.2,0.446,1.8,2.2,0.818,1.1,2.8,3.9,1.9,0.8,0.4,2.6,14.5,
60.0,Junior Bridgeman,23.0,MIL,SF,82.0,,29.4,6.0,13.3,0.449,2.4,2.8,0.864,1.6,3.5,5.1,2.5,1.0,0.3,2.7,14.4,
61.0,Dan Roundfield,23.0,IND,PF,61.0,,27.0,5.6,12.0,0.466,2.7,3.9,0.686,2.9,5.6,8.5,1.1,1.0,2.1,4.0,13.9,
62.0,Ricky Sobers,24.0,PHO,SG,79.0,,25.4,5.2,10.6,0.496,3.1,3.7,0.841,1.0,1.9,3.0,3.0,1.2,0.2,3.3,13.6,
63.0,M.L. Carr,26.0,DET,SF,82.0,,32.2,5.4,11.4,0.476,2.5,3.4,0.735,2.6,5.1,7.7,2.2,2.0,0.7,3.5,13.3,
64.0,Moses Malone,21.0,2TM,C,82.0,,30.6,4.7,9.9,0.48,3.7,5.4,0.693,5.3,7.7,13.1,1.1,0.8,2.2,3.4,13.2,MVP-6
65.0,Howard Porter,28.0,DET,PF,78.0,,28.2,6.0,12.3,0.483,1.3,1.5,0.858,2.0,3.9,5.9,0.7,0.6,0.9,2.6,13.2,
66.0,Wil Jones,29.0,IND,PF,80.0,,33.9,5.5,12.7,0.43,2.1,2.8,0.744,2.7,4.8,7.6,2.4,1.3,1.0,3.8,13.0,
67.0,Swen Nater,27.0,MIL,C,72.0,,27.2,5.3,10.1,0.528,2.4,3.2,0.754,3.7,8.3,12.0,1.5,0.8,0.7,3.0,13.0,
68.0,Richard Washington,21.0,KCK,PF,82.0,,27.6,5.4,12.6,0.431,2.2,3.1,0.697,2.5,6.1,8.5,1.0,0.8,1.1,4.0,13.0,
69.0,Slick Watts,25.0,SEA,PG,79.0,,33.3,5.4,12.8,0.422,2.2,3.7,0.587,1.0,2.9,3.9,8.0,2.7,0.3,3.2,13.0,
70.0,Jim Chones,27.0,CLE,C,82.0,,29.0,5.5,11.9,0.463,1.9,2.6,0.731,2.5,5.9,8.4,1.3,0.4,0.9,3.1,12.9,
71.0,Mike Newlin,28.0,HOU,SG,82.0,,25.8,4.7,10.4,0.455,3.3,3.7,0.885,0.6,1.8,2.5,3.9,0.7,0.0,2.8,12.7,
73.0,Al Skinner,24.0,NYN,SG,79.0,,28.6,4.8,11.2,0.431,2.9,3.7,0.791,1.4,3.2,4.6,3.7,1.3,0.7,3.5,12.6,
74.0,Mike Bantom,25.0,2TM,SF,77.0,,24.8,4.7,9.8,0.478,2.9,4.0,0.723,2.4,3.7,6.1,1.3,0.8,0.6,3.0,12.3,
75.0,Chris Ford,28.0,DET,SG,82.0,82.0,31.0,5.3,11.2,0.476,1.6,2.1,0.771,1.2,2.1,3.3,4.1,2.2,0.3,2.3,12.3,
76.0,Nate Williams,26.0,NOJ,SF,79.0,,22.5,5.2,11.6,0.451,1.8,2.5,0.753,1.4,2.5,3.9,1.2,1.0,0.2,2.5,12.3,
77.0,Dave Robisch,27.0,IND,C,80.0,,24.6,4.6,10.1,0.455,2.7,3.2,0.832,2.1,4.8,6.9,2.0,0.7,0.5,2.1,11.9,
78.0,Lonnie Shelton,21.0,NYK,PF,82.0,57.0,25.7,4.9,10.2,0.476,1.9,2.7,0.707,2.7,5.0,7.7,1.8,1.5,1.2,4.4,11.6,
79.0,Nick Weatherspoon,26.0,2TM,SF,62.0,,26.7,5.0,11.1,0.449,1.5,2.3,0.632,1.9,5.0,6.9,0.9,0.8,0.5,2.7,11.5,
80.0,Allan Bristow,25.0,SAS,SF,82.0,,24.6,4.5,9.1,0.489,2.5,3.1,0.798,1.5,2.8,4.2,2.9,1.1,0.0,2.4,11.4,
81.0,Bob Gross,23.0,POR,SF,82.0,,27.2,4.6,8.7,0.529,2.2,2.6,0.851,2.1,2.7,4.8,3.0,1.3,0.7,3.1,11.4,
82.0,Tom Henderson,25.0,2TM,PG,87.0,,32.1,4.3,9.5,0.449,2.7,3.6,0.744,0.5,2.3,2.7,6.9,1.6,0.2,1.7,11.2,
83.0,Ken Charles,25.0,ATL,SG,82.0,,30.3,4.3,10.4,0.414,2.5,3.1,0.801,0.5,1.5,2.0,3.6,1.7,0.5,2.9,11.1,
84.0,John Lucas,23.0,HOU,SG,82.0,,30.9,4.7,9.9,0.477,1.6,2.1,0.789,0.7,2.0,2.7,5.6,1.5,0.2,2.1,11.1,ROY-2
85.0,Joe Meriweather,23.0,ATL,C,74.0,,27.9,4.3,8.2,0.526,2.5,3.4,0.714,2.9,5.1,8.1,1.1,0.6,1.1,4.4,11.1,
86.0,Bruce Seals,23.0,SEA,PF,81.0,,24.4,4.7,10.5,0.444,1.7,2.4,0.708,1.5,2.9,4.4,1.1,0.6,0.7,3.2,11.0,
87.0,Ralph Simpson,27.0,DET,SG,77.0,,20.7,4.6,10.8,0.427,1.8,2.5,0.708,0.6,1.7,2.4,2.3,0.9,0.1,1.3,11.0,
89.0,Ernie DiGregorio,26.0,BUF,PG,81.0,,28.0,4.5,10.8,0.417,1.7,1.8,0.945,0.6,1.6,2.3,4.7,0.7,0.0,1.9,10.7,
90.0,Darnell Hillman,27.0,IND,C,82.0,,28.1,4.4,9.9,0.443,2.0,3.0,0.66,2.8,5.7,8.5,2.0,1.2,1.3,4.3,10.7,
92.0,Dave Bing,33.0,WSB,SG,64.0,,23.7,4.2,9.3,0.454,2.1,2.8,0.773,0.8,1.4,2.2,4.3,1.0,0.1,2.3,10.6,
94.0,Sam Lacey,28.0,KCK,C,82.0,,31.6,4.0,9.4,0.422,2.6,3.4,0.762,2.3,6.6,9.0,4.7,1.5,1.6,3.6,10.6,
95.0,Jim McElroy,23.0,NOJ,PG,73.0,,27.8,4.1,8.8,0.47,2.3,3.0,0.779,0.8,1.8,2.5,3.6,0.8,0.1,1.6,10.6,
96.0,Steve Mix,29.0,PHI,SF,75.0,9.0,26.1,3.8,7.3,0.523,2.9,3.5,0.817,1.7,3.3,5.0,2.0,1.2,0.3,2.2,10.5,
97.0,Jim Cleamons,27.0,CLE,PG,60.0,,34.1,4.3,9.9,0.434,1.9,2.5,0.757,1.7,2.9,4.6,5.1,1.1,0.4,2.1,10.4,
99.0,Mark Olberding,20.0,SAS,PF,82.0,,23.8,3.7,7.3,0.503,3.1,3.9,0.794,2.0,3.5,5.5,1.5,0.7,0.4,3.4,10.4,
100.0,Mike Gale,26.0,SAS,SG,82.0,,31.7,4.3,9.2,0.468,1.7,2.0,0.82,0.7,2.7,3.3,5.8,2.3,0.6,2.7,10.3,
101.0,Bill Robinzine,24.0,KCK,PF,75.0,,21.3,4.1,9.0,0.453,2.1,2.9,0.736,2.2,4.1,6.3,1.3,1.1,0.2,3.8,10.3,
102.0,Larry Steele,27.0,POR,SG,81.0,,20.7,4.0,8.0,0.5,2.3,2.8,0.806,0.9,1.4,2.3,2.1,1.5,0.2,2.7,10.3,
103.0,Dave Twardzik,26.0,POR,PG,74.0,,26.2,3.6,5.8,0.612,3.2,3.8,0.842,1.0,1.7,2.7,3.3,1.7,0.2,3.1,10.3,
104.0,Henry Bibby,27.0,PHI,PG,81.0,80.0,32.6,3.7,8.7,0.43,2.7,3.5,0.784,1.1,2.3,3.4,4.4,1.3,0.1,2.5,10.2,
105.0,Ron Lee,24.0,PHO,PG,82.0,,22.5,4.2,9.6,0.441,1.7,2.6,0.676,1.2,2.4,3.6,3.2,1.9,0.4,3.4,10.2,
106.0,Eric Money,21.0,DET,PG,73.0,,21.7,4.5,8.6,0.521,1.2,1.6,0.789,0.6,1.1,1.7,3.3,1.2,0.2,2.7,10.2,
107.0,Jan van Breda Kolff,25.0,NYN,SF,72.0,,33.3,3.8,8.5,0.445,2.7,3.2,0.855,2.2,4.2,6.4,1.6,1.0,0.9,2.8,10.2,
108.0,Norm Van Lier,29.0,CHI,PG,82.0,81.0,37.8,3.7,8.9,0.412,2.9,3.7,0.778,1.3,3.2,4.5,7.8,1.6,0.2,3.3,10.2,"MVP-11,AS"
109.0,Curtis Rowe,27.0,BOS,PF,79.0,,27.7,4.0,8.0,0.498,2.2,3.0,0.708,2.4,4.7,7.1,1.4,0.3,0.6,2.7,10.1,
111.0,Jim McMillian,28.0,NYK,SF,67.0,60.0,32.2,4.4,9.6,0.464,1.0,1.3,0.779,1.0,3.6,4.6,2.1,0.9,0.1,1.5,9.9,
112.0,Mike Green,25.0,SEA,C,76.0,,25.4,3.8,8.7,0.441,2.2,3.1,0.706,2.5,4.1,6.6,1.6,0.6,1.7,2.6,9.8,
113.0,Tom Burleson,24.0,SEA,C,82.0,82.0,22.0,3.5,8.0,0.442,2.7,3.7,0.731,2.2,4.5,6.7,1.1,0.9,1.4,3.2,9.7,
120.0,Kevin Kunnert,25.0,HOU,C,81.0,,25.3,4.1,8.5,0.486,1.1,1.6,0.738,2.6,5.7,8.3,1.9,0.4,1.3,4.5,9.4,
122.0,Herm Gilliam,30.0,POR,SG,80.0,,20.8,4.1,9.3,0.438,1.2,1.5,0.767,0.8,1.7,2.5,2.1,1.0,0.1,2.1,9.3,
123.0,John Johnson,29.0,HOU,SF,79.0,,22.0,4.0,8.8,0.458,1.2,1.7,0.712,0.9,2.4,3.4,2.1,0.6,0.3,2.5,9.3,
124.0,Dick Snyder,32.0,CLE,SG,82.0,,20.5,3.9,8.5,0.456,1.5,1.8,0.852,0.6,1.2,1.8,2.0,0.5,0.4,2.2,9.3,
125.0,Gus Williams,23.0,GSW,PG,82.0,,23.5,4.0,8.5,0.464,1.4,1.8,0.747,0.9,2.0,2.8,3.6,1.5,0.2,2.7,9.3,
126.0,Dennis Johnson,22.0,SEA,SG,81.0,,20.6,3.5,7.0,0.504,2.2,3.5,0.624,2.0,1.7,3.7,1.5,1.5,0.7,2.7,9.2,
128.0,Tim Bassett,25.0,NYN,PF,76.0,,32.1,3.9,9.7,0.396,1.3,2.3,0.571,2.3,6.1,8.4,1.4,1.3,0.7,3.2,9.0,
129.0,Kevin Porter,26.0,DET,PG,81.0,,26.1,3.8,7.5,0.512,1.2,1.6,0.729,0.3,0.9,1.2,7.3,1.1,0.1,3.3,8.9,
130.0,Elmore Smith,27.0,2TM,C,70.0,,20.9,3.4,7.2,0.475,1.7,3.0,0.549,1.6,4.6,6.3,0.6,0.5,2.1,3.0,8.6,
132.0,Quinn Buckner,22.0,MIL,PG,79.0,,26.5,3.8,8.7,0.434,1.1,1.9,0.539,1.2,2.2,3.3,4.7,2.4,0.3,3.7,8.6,
133.0,E.C. Coleman,26.0,NOJ,PF,77.0,,30.8,3.8,8.2,0.462,1.1,1.5,0.732,1.9,5.2,7.1,1.3,0.8,0.4,3.6,8.6,
135.0,Jim Brewer,25.0,CLE,PF,81.0,,33.0,3.7,8.1,0.451,1.2,2.2,0.545,3.4,6.0,9.4,2.4,1.2,1.0,2.6,8.5,
136.0,Ira Terrell,22.0,PHO,SF,78.0,,22.4,3.6,7.0,0.508,1.4,2.3,0.631,1.3,3.7,5.0,1.3,0.5,0.6,2.1,8.5,
137.0,Coby Dietrick,28.0,SAS,C,82.0,,21.6,3.5,7.6,0.46,1.5,2.0,0.717,1.4,3.2,4.5,1.8,1.1,0.7,3.3,8.4,
141.0,Ted McClain,30.0,DEN,SG,72.0,,27.8,3.4,7.7,0.445,1.4,1.8,0.744,0.7,2.5,3.2,4.5,1.5,0.2,3.5,8.2,
142.0,Clifford Ray,28.0,GSW,C,77.0,,26.2,3.4,5.8,0.584,1.4,2.6,0.528,2.6,5.4,8.0,1.5,1.0,1.1,3.1,8.2,
145.0,Tom Barker,21.0,ATL,C,59.0,,22.9,3.1,7.4,0.417,1.9,2.8,0.683,1.9,4.9,6.8,1.0,0.6,0.7,3.8,8.1,
147.0,Don Buse,26.0,IND,PG,81.0,,36.4,3.3,7.9,0.416,1.4,1.8,0.786,0.8,2.5,3.3,8.5,3.5,0.2,1.6,8.0,AS
149.0,John Gianelli,26.0,2TM,C,76.0,15.0,25.2,3.4,7.6,0.444,1.2,1.6,0.72,2.0,4.2,6.3,1.1,0.5,1.3,2.3,7.9,
151.0,Wes Unseld,30.0,WSB,C,82.0,82.0,34.9,3.3,6.7,0.49,1.2,2.0,0.602,3.0,7.7,10.7,4.4,1.1,0.5,3.1,7.8,
153.0,Willie Norwood,29.0,SEA,SF,76.0,,21.7,2.8,6.1,0.469,2.0,2.7,0.733,1.7,2.2,3.8,1.3,0.8,0.1,2.5,7.7,
160.0,Jim Price,27.0,3TM,PG,81.0,,22.6,3.1,7.0,0.446,1.0,1.3,0.806,0.6,2.2,2.9,3.2,1.6,0.2,3.0,7.3,
161.0,Don Adams,29.0,BUF,SF,77.0,,22.2,2.8,6.8,0.411,1.7,2.2,0.746,1.7,3.1,4.8,1.9,1.0,0.2,2.6,7.3,
162.0,Don Ford,24.0,LAL,PF,82.0,82.0,21.7,3.2,7.0,0.46,0.9,1.2,0.716,1.3,3.0,4.3,1.6,0.7,0.3,2.1,7.3,
163.0,Charles Dudley,26.0,GSW,PG,79.0,,21.3,2.8,5.3,0.523,1.6,2.6,0.635,1.5,2.2,3.7,4.4,0.8,0.1,2.1,7.2,
164.0,Paul Silas,33.0,DEN,PF,81.0,,24.2,2.5,7.1,0.36,2.1,3.1,0.667,2.9,4.6,7.5,1.6,0.7,0.3,2.3,7.2,
177.0,Louie Dampier,32.0,SAS,PG,80.0,,20.4,2.9,6.3,0.46,0.8,1.1,0.744,0.3,0.7,1.0,2.9,0.6,0.2,1.2,6.6,
186.0,Don Chaney,30.0,LAL,SG,81.0,,29.7,2.6,6.4,0.408,0.9,1.2,0.745,1.5,2.6,4.1,3.8,1.7,0.4,2.8,6.1,
188.0,George Johnson,28.0,2TM,C,78.0,,21.2,2.5,5.5,0.462,0.9,1.3,0.724,2.6,5.2,7.8,1.3,0.5,2.3,3.2,6.0,
190.0,Armond Hill,23.0,ATL,PG,81.0,,22.5,2.2,5.4,0.399,1.7,2.1,0.799,0.5,1.3,1.8,5.0,1.0,0.1,3.0,6.0,
191.0,Caldwell Jones,26.0,PHI,C,82.0,57.0,24.7,2.6,5.2,0.507,0.8,1.4,0.552,2.3,5.8,8.1,1.1,0.5,2.4,3.7,6.0,
194.0,Otto Moore,30.0,NOJ,C,81.0,,25.7,2.4,5.9,0.405,1.1,1.7,0.679,2.1,5.8,7.9,2.2,0.7,1.4,2.9,5.9,
201.0,Dennis Awtrey,28.0,PHO,C,72.0,,24.4,2.2,5.2,0.429,1.3,1.8,0.722,1.5,3.4,4.9,2.5,0.3,0.4,2.4,5.7,
214.0,Paul Griffin,23.0,NOJ,PF,81.0,,20.3,1.7,3.2,0.547,1.8,2.5,0.721,2.1,4.0,6.1,2.1,0.6,0.5,3.0,5.2,
241.0,Kim Hughes,24.0,NYN,C,81.0,,25.7,1.9,4.4,0.427,0.2,0.9,0.275,2.3,4.6,7.0,1.2,1.5,1.5,3.8,4.0,
