Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
40.0,Paul Westphal,28.0,PHO,SG,81.0,,2641.0,13.4,25.1,0.535,5.7,6.8,0.837,0.6,2.1,2.7,8.9,1.9,0.4,3.9,2.7,32.5,114.0,106.0,"AS,NBA1"
41.0,Rudy Tomjanovich,30.0,HOU,PF,74.0,,2641.0,10.9,21.0,0.517,2.9,3.9,0.76,3.0,7.0,10.0,2.4,0.8,0.3,2.4,3.3,24.6,111.0,109.0,AS
42.0,Bob Dandridge,31.0,WSB,SF,78.0,,2629.0,10.8,21.6,0.499,5.7,6.9,0.825,1.9,5.8,7.7,6.3,1.2,1.0,3.8,4.4,27.2,111.0,103.0,"MVP-5,AS,NBA2"
43.0,Sam Lacey,30.0,KCK,C,82.0,,2627.0,6.0,11.9,0.502,2.8,3.8,0.739,3.0,8.9,12.0,7.3,1.8,2.4,4.2,5.3,14.8,103.0,98.0,
44.0,Charlie Scott,30.0,DEN,PG,79.0,,2617.0,6.8,14.8,0.46,2.8,3.7,0.749,0.9,2.7,3.6,7.4,1.4,0.5,4.4,4.9,16.4,95.0,106.0,
45.0,Mickey Johnson,26.0,CHI,PF,82.0,74.0,2594.0,8.9,19.9,0.449,4.9,5.9,0.83,3.5,7.8,11.3,6.8,1.6,1.1,5.6,5.1,22.7,98.0,103.0,
46.0,Brian Winters,26.0,MIL,SG,79.0,,2575.0,11.6,23.5,0.493,4.1,4.8,0.856,0.8,2.3,3.1,6.7,1.5,0.7,4.5,4.3,27.3,102.0,108.0,
47.0,Rick Barry,34.0,HOU,SF,80.0,,2566.0,8.3,18.0,0.461,2.9,3.0,0.947,0.7,4.3,5.0,9.0,1.7,0.7,3.6,3.5,19.5,105.0,108.0,
48.0,Terry Tyler,22.0,DET,PF,82.0,,2560.0,8.0,16.5,0.482,2.5,3.8,0.658,3.7,7.6,11.3,1.6,1.8,3.5,2.5,4.4,18.5,103.0,101.0,
49.0,George McGinnis,28.0,DEN,PF,76.0,,2552.0,10.7,22.6,0.474,9.0,13.6,0.665,4.5,10.8,15.3,5.0,2.3,0.9,6.1,5.7,30.5,101.0,98.0,AS
50.0,James Edwards,23.0,IND,C,82.0,82.0,2546.0,9.6,19.1,0.501,5.3,7.9,0.676,3.2,9.2,12.4,1.6,1.1,2.0,2.9,6.5,24.4,107.0,102.0,
51.0,Don Buse,28.0,PHO,PG,82.0,82.0,2544.0,5.0,10.0,0.495,1.2,1.6,0.769,0.8,3.0,3.8,6.2,2.7,0.3,1.7,2.6,11.1,110.0,103.0,
52.0,Dan Roundfield,25.0,ATL,PF,80.0,,2539.0,8.5,16.9,0.504,5.5,7.7,0.714,6.0,9.9,16.0,2.4,1.6,3.2,3.9,6.6,22.6,110.0,99.0,
53.0,Henry Bibby,29.0,PHI,PG,82.0,38.0,2538.0,6.5,15.4,0.423,4.7,5.9,0.794,1.3,3.0,4.3,6.6,1.3,0.1,3.5,3.5,17.8,100.0,105.0,
54.0,Truck Robinson,27.0,2TM,PF,69.0,,2537.0,9.9,20.1,0.491,5.6,8.1,0.701,3.4,10.6,14.0,2.0,0.8,1.3,4.1,3.6,25.4,101.0,103.0,
55.0,Mike Bantom,27.0,IND,PF,81.0,,2528.0,8.7,18.7,0.465,4.1,6.1,0.672,4.1,7.7,11.7,4.0,1.8,1.1,3.5,5.7,21.5,102.0,103.0,
56.0,Armond Hill,25.0,ATL,PG,82.0,82.0,2527.0,5.5,12.6,0.434,4.6,5.3,0.854,0.8,2.3,3.0,8.9,1.9,0.3,3.7,5.4,15.5,105.0,107.0,
57.0,Dave Cowens,30.0,BOS,C,68.0,,2517.0,8.7,18.1,0.483,2.7,3.3,0.807,2.7,9.0,11.7,4.3,1.4,0.9,3.1,4.7,20.2,103.0,105.0,
58.0,John Long,22.0,DET,SG,82.0,,2498.0,10.4,22.2,0.469,2.8,3.4,0.826,2.3,2.5,4.8,2.2,1.8,0.3,2.5,4.0,23.6,103.0,108.0,
59.0,Scott Wedman,26.0,KCK,SF,73.0,,2498.0,10.0,18.8,0.534,3.9,4.9,0.797,2.4,4.5,6.9,2.6,1.4,0.5,1.9,4.3,24.0,117.0,104.0,
60.0,Wilbur Holland,27.0,CHI,SG,82.0,56.0,2483.0,8.4,17.7,0.473,2.6,3.3,0.801,1.5,3.3,4.8,6.2,2.3,0.2,3.5,4.5,19.4,101.0,105.0,
61.0,Maurice Lucas,26.0,POR,PF,69.0,,2462.0,10.7,22.8,0.47,5.1,6.5,0.783,3.6,9.9,13.5,4.1,1.2,1.5,4.4,4.8,26.5,103.0,101.0,AS
62.0,Ron Brewer,23.0,POR,SG,81.0,,2454.0,8.2,16.6,0.494,4.0,4.8,0.82,1.7,2.7,4.3,3.1,1.9,1.5,2.9,3.4,20.4,108.0,105.0,
