Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
83.0,Joe Dumars,34.0,DET,SG,72.0,72.0,2326.0,7.7,18.5,0.416,3.7,10.0,0.371,4.0,8.5,0.468,0.516,3.0,3.6,0.825,0.3,2.1,2.4,5.9,1.0,0.0,2.0,2.3,22.1,115.0,109.0,
84.0,Keith Van Horn,22.0,NJN,PF,62.0,62.0,2325.0,10.1,23.7,0.426,1.6,5.1,0.308,8.5,18.7,0.458,0.459,5.9,6.9,0.846,3.2,6.0,9.3,2.4,1.5,0.6,3.7,4.9,27.6,106.0,108.0,ROY-2
85.0,Clarence Weatherspoon,27.0,2TM,PF,79.0,49.0,2325.0,6.1,13.8,0.441,0.0,0.0,,6.1,13.8,0.441,0.441,4.5,6.3,0.722,4.5,9.0,13.5,2.0,1.9,1.7,2.7,4.4,16.7,103.0,103.0,
86.0,Charlie Ward,27.0,NYK,PG,82.0,82.0,2317.0,5.5,12.1,0.455,1.9,5.0,0.377,3.6,7.1,0.512,0.534,2.1,2.7,0.805,0.8,5.7,6.4,10.9,3.4,0.9,4.1,4.6,15.1,108.0,98.0,
87.0,Darrick Martin,26.0,LAC,PG,82.0,63.0,2299.0,6.2,16.5,0.377,2.4,6.6,0.365,3.8,9.9,0.384,0.45,4.2,4.9,0.848,0.4,3.3,3.7,7.5,1.9,0.2,3.5,4.5,19.0,104.0,114.0,
89.0,Dennis Scott,29.0,2TM,SF,81.0,45.0,2290.0,7.6,19.2,0.397,2.9,7.9,0.365,4.7,11.3,0.42,0.473,2.4,3.0,0.808,1.1,4.6,5.7,3.6,1.2,0.9,2.4,3.5,20.6,101.0,109.0,
90.0,Ron Harper,34.0,CHI,PG,82.0,82.0,2284.0,6.9,15.7,0.441,0.4,2.0,0.19,6.5,13.7,0.477,0.453,3.8,5.1,0.75,2.5,4.3,6.8,5.7,2.5,1.1,2.1,4.3,18.0,111.0,100.0,
91.0,Christian Laettner,28.0,ATL,PF,74.0,49.0,2282.0,8.5,17.5,0.485,0.1,0.6,0.222,8.4,16.9,0.495,0.489,7.3,8.5,0.864,3.4,8.3,11.7,4.6,1.7,1.8,4.4,5.9,24.5,111.0,103.0,
92.0,Anthony Johnson,23.0,SAC,PG,77.0,62.0,2266.0,5.2,14.0,0.371,1.0,2.9,0.328,4.2,11.1,0.383,0.406,1.8,2.5,0.727,1.2,2.8,3.9,7.6,1.5,0.1,2.8,4.3,13.2,95.0,111.0,
93.0,Isaac Austin,28.0,2TM,C,78.0,50.0,2266.0,9.6,20.6,0.466,0.0,0.2,0.0,9.6,20.4,0.47,0.466,5.7,8.6,0.669,4.7,8.5,13.2,4.1,1.4,1.3,4.9,5.5,24.9,100.0,105.0,
94.0,Rex Chapman,30.0,PHO,SG,68.0,67.0,2263.0,9.5,22.2,0.427,2.8,7.2,0.386,6.7,15.0,0.447,0.49,3.4,4.3,0.781,0.7,3.3,4.0,4.7,1.6,0.3,2.7,2.4,25.1,105.0,106.0,
95.0,Ervin Johnson,30.0,MIL,C,81.0,81.0,2261.0,6.0,11.1,0.537,0.0,0.0,,6.0,11.1,0.537,0.537,3.4,5.6,0.601,5.7,10.4,16.1,1.4,1.9,3.7,2.8,7.6,15.3,110.0,100.0,
96.0,Charles Barkley,34.0,HOU,PF,68.0,41.0,2243.0,8.5,17.5,0.485,0.4,2.0,0.214,8.1,15.5,0.52,0.497,7.0,9.3,0.746,5.7,13.0,18.7,5.1,1.7,0.7,3.5,4.4,24.4,116.0,104.0,
97.0,Sam Mitchell,34.0,MIN,SF,81.0,33.0,2239.0,8.6,18.5,0.464,0.3,1.0,0.349,8.2,17.5,0.47,0.473,5.6,6.8,0.832,2.7,6.2,8.9,2.5,1.5,0.5,1.5,4.6,23.2,115.0,108.0,
98.0,Toni Kukoč,29.0,CHI,SF,74.0,52.0,2235.0,9.2,20.3,0.455,1.5,4.2,0.362,7.7,16.1,0.48,0.493,3.7,5.3,0.708,2.9,5.0,7.9,7.6,1.8,0.9,3.7,3.6,23.7,109.0,101.0,
99.0,Tracy Murray,26.0,WAS,SF,82.0,12.0,2227.0,10.5,23.6,0.446,3.7,9.5,0.392,6.8,14.2,0.482,0.524,4.3,4.9,0.871,1.8,4.7,6.5,2.0,1.6,0.6,2.4,3.9,29.1,112.0,107.0,6MOY-6
100.0,Jaren Jackson,30.0,SAS,SG,82.0,45.0,2226.0,6.3,15.9,0.394,2.7,7.2,0.377,3.6,8.7,0.409,0.48,2.3,2.9,0.797,1.3,3.8,5.1,3.8,1.5,0.2,2.5,5.4,17.6,102.0,103.0,
101.0,Bryon Russell,27.0,UTA,SF,82.0,7.0,2219.0,5.5,12.7,0.43,1.8,5.2,0.341,3.7,7.5,0.492,0.5,5.2,6.7,0.766,1.9,6.0,7.9,2.5,2.2,0.8,2.0,5.6,17.9,116.0,105.0,
102.0,Matt Maloney,26.0,HOU,PG,78.0,78.0,2217.0,5.7,13.9,0.408,3.0,8.2,0.364,2.7,5.7,0.471,0.515,1.5,1.9,0.833,0.4,3.0,3.4,5.2,1.5,0.1,2.5,2.4,15.9,106.0,112.0,
103.0,Chauncey Billups,21.0,2TM,PG,80.0,70.0,2216.0,6.5,17.4,0.374,2.5,7.6,0.329,4.0,9.9,0.408,0.445,5.3,6.2,0.85,1.4,3.0,4.4,7.3,2.5,0.1,4.1,4.0,20.8,104.0,110.0,
104.0,Anthony Goldwire,26.0,DEN,PG,82.0,32.0,2212.0,6.5,15.4,0.423,1.5,4.0,0.384,5.0,11.4,0.436,0.472,3.6,4.5,0.806,1.0,2.6,3.6,6.7,2.1,0.2,2.1,3.6,18.2,111.0,115.0,
105.0,Otis Thorpe,35.0,2TM,PF,74.0,66.0,2197.0,7.0,14.8,0.471,0.0,0.1,0.0,7.0,14.7,0.475,0.471,3.9,5.7,0.683,3.6,9.2,12.7,5.3,1.1,0.7,3.6,5.6,17.8,102.0,109.0,
