Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,DRtg,Awards
92.0,Jack Marin,29.0,2TM,SF,74.0,,1782.0,8.8,17.6,0.501,3.8,4.5,0.855,1.5,4.2,5.7,4.2,1.1,0.6,5.3,21.5,103.0,
93.0,John Block,29.0,KCO,PF,82.0,,1777.0,7.0,16.1,0.434,4.2,5.2,0.796,3.3,6.6,9.9,2.4,1.7,0.9,5.8,18.2,99.0,
94.0,Ed Ratleff,23.0,HOU,SF,81.0,,1773.0,6.5,14.9,0.434,2.6,3.3,0.798,2.4,4.9,7.3,4.6,2.3,0.7,4.6,15.6,100.0,
95.0,Cliff Meely,26.0,HOU,PF,77.0,,1754.0,8.5,19.9,0.427,2.3,3.6,0.643,2.7,8.7,11.3,3.2,1.4,2.0,6.0,19.3,98.0,
96.0,Don Nelson,33.0,BOS,SF,82.0,,1748.0,9.1,17.9,0.508,5.4,6.8,0.788,2.2,6.4,8.6,4.0,0.5,0.3,4.7,23.5,97.0,
98.0,Ollie Johnson,24.0,POR,SF,79.0,,1718.0,5.4,11.2,0.482,2.0,2.4,0.819,3.0,5.4,8.3,4.3,1.5,0.8,4.6,12.7,103.0,
99.0,John Brown,22.0,ATL,SF,77.0,,1715.0,7.0,16.0,0.438,4.1,5.5,0.751,4.5,6.7,11.1,2.9,0.7,0.4,6.0,18.1,101.0,
100.0,Bob Weiss,31.0,CHI,SG,79.0,11.0,1708.0,7.0,15.1,0.466,3.8,4.6,0.835,0.9,1.9,2.8,8.1,2.8,0.3,4.2,17.9,95.0,
101.0,Jim Barnett,29.0,GSW,SG,77.0,,1689.0,9.1,19.7,0.464,4.8,5.9,0.814,2.0,3.8,5.8,5.5,1.5,0.3,3.8,23.1,101.0,
102.0,Bernie Fryer,24.0,POR,SG,80.0,,1674.0,6.0,13.0,0.46,2.8,3.6,0.793,1.6,2.6,4.2,7.4,2.4,0.3,4.9,14.8,104.0,
103.0,Jim Cleamons,24.0,CLE,PG,81.0,,1642.0,6.6,15.3,0.433,2.6,3.7,0.699,1.8,4.7,6.5,6.4,1.7,0.5,4.3,15.9,101.0,
105.0,Jerry Lucas,33.0,NYK,C,73.0,14.0,1627.0,5.5,12.0,0.462,1.9,2.7,0.698,1.8,8.9,10.7,6.6,0.8,0.7,3.8,13.0,94.0,
106.0,Toby Kimball,31.0,PHI,PF,75.0,1.0,1592.0,6.0,12.7,0.474,3.5,5.1,0.686,5.1,10.2,15.4,2.0,1.4,0.6,5.5,15.6,96.0,
107.0,John Mengelt,24.0,DET,SG,77.0,,1555.0,7.2,16.2,0.446,5.3,6.6,0.795,1.2,4.8,6.0,4.3,2.0,0.2,4.8,19.7,95.0,
108.0,Dick Gibbs,25.0,SEA,SF,71.0,,1528.0,8.6,20.0,0.431,4.6,5.7,0.806,2.6,3.8,6.4,2.3,1.1,0.5,5.6,21.8,101.0,
113.0,Slick Watts,22.0,SEA,PG,62.0,,1424.0,6.1,15.6,0.388,3.1,4.7,0.645,2.2,3.4,5.6,10.7,3.5,0.4,6.3,15.2,97.0,ROY-3
114.0,John Gianelli,23.0,NYK,C,70.0,41.0,1423.0,6.8,14.1,0.479,3.0,3.9,0.76,3.6,7.6,11.2,2.5,0.7,1.4,5.2,16.6,95.0,
