Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
145.0,Joe Meriweather,25.0,2TM,C,77.0,26.0,22.0,3.1,6.5,0.484,1.6,2.4,0.674,1.9,3.5,5.3,1.0,0.5,1.2,1.7,3.7,7.9,
149.0,Don Buse,28.0,PHO,PG,82.0,82.0,31.0,3.5,7.0,0.495,0.9,1.1,0.769,0.5,2.1,2.6,4.3,1.9,0.2,1.2,1.8,7.8,
153.0,T.R. Dunn,23.0,POR,SG,80.0,,22.9,3.1,6.9,0.448,1.5,2.0,0.772,1.8,2.5,4.3,1.3,1.1,0.3,1.2,2.1,7.7,
156.0,Mike Green,27.0,SAS,C,76.0,,21.6,3.1,6.3,0.493,1.3,1.9,0.701,1.7,2.9,4.7,1.5,0.5,1.6,1.2,3.0,7.5,
160.0,Quinn Buckner,24.0,MIL,PG,81.0,,21.7,3.1,6.8,0.454,1.0,1.5,0.632,0.7,1.9,2.6,5.8,1.9,0.2,2.6,2.8,7.2,
161.0,Larry Steele,29.0,POR,SG,72.0,,20.7,2.8,6.7,0.42,1.6,1.9,0.824,0.8,1.6,2.4,2.0,1.0,0.1,1.3,2.9,7.2,
162.0,John Gianelli,28.0,MIL,C,82.0,,25.1,3.1,6.4,0.486,0.9,1.2,0.706,1.5,3.5,5.0,2.0,0.5,0.7,1.3,2.4,7.1,
164.0,Darnell Hillman,29.0,KCK,PF,78.0,,20.7,2.7,5.5,0.493,1.6,2.9,0.558,1.8,3.8,5.5,1.2,0.6,0.8,1.7,3.7,7.0,
166.0,Clifford Ray,30.0,GSW,C,82.0,,23.4,2.8,5.4,0.526,1.3,2.3,0.558,2.6,4.8,7.4,1.7,0.6,0.6,1.9,3.2,6.9,
169.0,James Hardy,22.0,NOJ,SF,68.0,,21.4,2.9,6.3,0.46,0.9,1.3,0.693,1.8,2.8,4.6,1.0,0.8,0.9,1.4,2.0,6.7,
172.0,Alvin Scott,23.0,PHO,SF,81.0,,21.4,2.6,4.9,0.535,1.5,2.1,0.714,1.3,3.2,4.4,1.6,1.0,0.8,1.2,1.7,6.7,
173.0,Jan van Breda Kolff,27.0,NJN,SF,80.0,,25.0,2.5,5.3,0.463,1.8,2.3,0.798,1.4,3.4,4.8,2.3,1.1,0.9,1.7,2.9,6.7,
175.0,George Johnson,30.0,NJN,C,78.0,,26.4,2.6,6.2,0.427,1.3,1.8,0.761,2.6,5.3,7.9,1.1,0.9,3.2,2.3,4.0,6.6,
178.0,Kevin Kunnert,27.0,SDC,C,81.0,,20.8,2.9,6.2,0.467,0.7,1.0,0.659,2.5,4.5,7.0,1.4,0.6,1.5,1.7,3.8,6.5,
197.0,Paul Silas,35.0,SEA,PF,82.0,,23.9,2.1,4.9,0.423,1.4,2.4,0.598,3.2,3.9,7.0,1.4,0.4,0.2,1.2,2.2,5.6,
203.0,Glen Gondrezick,23.0,NYK,SF,75.0,40.0,21.4,2.1,4.3,0.494,0.7,1.3,0.567,2.0,3.7,5.7,1.4,1.3,0.2,1.3,3.0,5.0,
226.0,Jim Brewer,27.0,2TM,PF,80.0,,20.1,1.8,4.0,0.442,0.3,0.8,0.413,2.0,4.0,5.9,1.1,0.8,0.8,1.2,2.2,3.9,
